Primary Question,Alternative Phrasing 1,Alternative Phrasing 2,Required Parameters,SQL Query (Existing or Recovered),Testing Parameter,Bridge Tool Mapping,Suggested Tool Name,Tool Description
What are my active projects?,Show the projects I am currently working on.,List my ongoing projects.,current_user,"SELECT DISTINCT
    p.project_id,
    p.project_unique_id,
    p.project_key,
    p.title,
    p.start_date,
    p.end_date,
    ps.status_name,
    st.stage_name,
    p.priority,
    p.rag
FROM tbl_projects p
JOIN tbl_project_users pu
    ON p.project_id = pu.project_id
JOIN tbl_users u
    ON u.user_id = pu.user_id
LEFT JOIN tbl_project_status ps
    ON ps.status_id = p.project_status_id
LEFT JOIN tbl_project_stages st
    ON st.stage_id = p.project_stage_id
WHERE u.email = :current_user  AND pu.request_status = 'A'
  AND pu.status = 1
  AND p.status = 1
  AND p.archive = 0
ORDER BY p.title ASC",saurav.kaushik@intglobal.com,Tool,get_my_active_projects,"Lists the signed-in user's active, non-archived projects via team membership (tbl_project_users), so it includes projects they neither manage nor own. Params: current_user (email). Use get_my_managed_projects or get_my_owned_projects for the PM-only or owner-only views."
Which projects am I managing?,Show projects where I am the project manager.,List projects managed by me.,current_user,"SELECT p.project_id, p.project_unique_id, p.project_key, p.title, p.start_date, p.end_date, ps.status_name, st.stage_name, p.priority, p.rag FROM tbl_projects p LEFT JOIN tbl_project_status ps ON ps.status_id = p.project_status_id LEFT JOIN tbl_project_stages st ON st.stage_id = p.project_stage_id WHERE p.pm_user_id = :current_user_id AND p.status = 1 AND p.archive = 0 ORDER BY p.end_date, p.title;",80,Tool,get_my_managed_projects,"Lists active, non-archived projects where the signed-in user is the assigned project manager (tbl_projects.pm_user_id). Params: current_user_id (numeric user_id). Narrower than get_my_active_projects, which returns every project the user is a member of."
Which projects do I own?,Show projects where I am the owner.,List projects owned by me.,current_user,"SELECT p.project_id, p.project_unique_id, p.project_key, p.title, p.start_date, p.end_date, ps.status_name, st.stage_name, p.priority, p.rag FROM tbl_projects p LEFT JOIN tbl_project_status ps ON ps.status_id = p.project_status_id LEFT JOIN tbl_project_stages st ON st.stage_id = p.project_stage_id WHERE p.project_owner_id = :current_user_id AND p.status = 1 AND p.archive = 0 ORDER BY p.end_date, p.title;",80,Tool,get_my_owned_projects,"Lists active, non-archived projects where the signed-in user is the project owner (tbl_projects.project_owner_id). Params: current_user_id (numeric user_id). Owner and PM are separate fields - use get_my_managed_projects for the PM view."
Show details of project :project_name.,Give me the project information for :project_name.,Open the summary of :project_name.,project_name,,,Needs SQL (Tool),get_project_details,"Intended to return the full profile of one project. SQL NOT YET WRITTEN - not executable. Params: project_name. Compose from get_project_status, get_project_stage, get_project_rag and get_project_hours_summary instead."
What is the status of project :project_name?,Show the current status of :project_name.,Is :project_name active or completed?,project_name,"SELECT p.project_id, p.project_key, p.title, p.project_status_id, ps.status_name, ps.color_code FROM tbl_projects p LEFT JOIN tbl_project_status ps ON ps.status_id = p.project_status_id WHERE p.title = :project_name AND p.status = 1 AND p.archive = 0 ORDER BY p.project_id;",,Tool,get_project_status,"Returns the current workflow status of one project, resolved through tbl_project_status. Params: project_name (exact match on tbl_projects.title). Returns nothing for inactive or archived projects. Stage is a separate field - see get_project_stage."
What stage is :project_name in?,Show the current stage of :project_name.,Which delivery stage has :project_name reached?,project_name,"SELECT p.project_id, p.project_key, p.title, p.project_stage_id, st.stage_name, st.color_code FROM tbl_projects p LEFT JOIN tbl_project_stages st ON st.stage_id = p.project_stage_id WHERE p.title = :project_name AND p.status = 1 AND p.archive = 0 ORDER BY p.project_id;",,Tool,get_project_stage,"Returns the current delivery stage of one project, resolved through tbl_project_stages. Params: project_name (exact title). Status and stage are different fields - get_project_status covers status."
What is the RAG status of :project_name?,Show the health colour of :project_name.,"Is :project_name red, amber, or green?",project_name,"SELECT p.project_id, p.project_key, p.title, p.rag FROM tbl_projects p WHERE p.title = :project_name AND p.status = 1 AND p.archive = 0 ORDER BY p.project_id;",,Tool,get_project_rag,Returns the stored RAG health colour (Red/Amber/Green) of one project. Params: project_name (exact title). Project-level RAG only - task-level RAG is get_red_rag_tasks.
What priority code is stored for :project_name?,Show the stored priority value for :project_name.,What is the current project priority code for :project_name?,project_name or project_unique_id,"SELECT p.project_id, p.project_unique_id, p.project_key, p.title, p.priority FROM tbl_projects p WHERE (p.project_unique_id = :project_identifier OR p.project_key = :project_identifier OR p.title = :project_identifier) AND p.status = 1 AND p.archive = 0 ORDER BY p.project_id;",,Tool,get_project_priority,"Returns the stored priority code of one project. Params: project_identifier - accepts project_unique_id, project_key or title, so it works when the caller does not know which identifier they hold. Returns the raw stored value, not a resolved label."
Which projects start between :start_date and :end_date?,Show projects beginning in the selected period.,List upcoming project starts.,"start_date, end_date","SELECT p.project_id, p.project_key, p.title, p.start_date, p.end_date, ps.status_name, p.rag FROM tbl_projects p LEFT JOIN tbl_project_status ps ON ps.status_id = p.project_status_id WHERE p.start_date >= :start_date AND p.start_date < DATE_ADD(:end_date, INTERVAL 1 DAY) AND p.status = 1 AND p.archive = 0 ORDER BY p.start_date, p.title;",,Tool,get_projects_starting_in_range,"Lists active projects whose start date falls inside an inclusive window. Use for upcoming kick-offs, 'projects starting this month'. Params: start_date, end_date (YYYY-MM-DD, both inclusive)."
Which projects end between :start_date and :end_date?,Show projects scheduled to finish in the selected period.,List upcoming project end dates.,"start_date, end_date","SELECT p.project_id, p.project_key, p.title, p.start_date, p.end_date, ps.status_name, p.rag FROM tbl_projects p LEFT JOIN tbl_project_status ps ON ps.status_id = p.project_status_id WHERE p.end_date >= :start_date AND p.end_date < DATE_ADD(:end_date, INTERVAL 1 DAY) AND p.status = 1 AND p.archive = 0 ORDER BY p.end_date, p.title;",,Tool,get_projects_ending_in_range,"Lists active projects whose end date falls inside an inclusive window. Use for upcoming delivery commitments, 'projects finishing this quarter'. Params: start_date, end_date (YYYY-MM-DD, both inclusive)."
Which projects are overdue?,Show active projects past their end date.,List delayed projects.,as_of_date,"SELECT
    p.project_id,
    p.project_unique_id,
    p.project_key,
    p.title AS project_name,
    p.start_date,
    p.end_date,
    ps.status_name,
    p.priority,
    p.rag,
    DATEDIFF(CURDATE(), p.end_date) AS overdue_days,
    COUNT(DISTINCT t.task_id) AS total_tasks,
    SUM(
        CASE
            WHEN t.due_date < CURDATE()
                 AND t.percent_complete < 100
            THEN 1
            ELSE 0
        END
    ) AS overdue_tasks
FROM tbl_projects p
LEFT JOIN tbl_project_status ps
    ON ps.status_id = p.project_status_id
LEFT JOIN tbl_project_tasks t
    ON t.project_id = p.project_id
WHERE
    p.status = 1
    AND p.archive = 0
    AND p.end_date < CURDATE()
GROUP BY
    p.project_id,
    p.project_unique_id,
    p.project_key,
    p.title,
    p.start_date,
    p.end_date,
    ps.status_name,
    p.priority,
    p.rag
ORDER BY
    overdue_days DESC,
    overdue_tasks DESC;",,Tool,get_overdue_projects,"Lists active projects past their end date, with days overdue and overdue task counts. Use for delayed or late projects at portfolio level. Params: as_of_date (the published SQL anchors on CURDATE()). Project-level only - for late tasks use get_at_risk_tasks."
Show active projects for department :department_name.,Which active projects belong to :department_name?,Give me the project portfolio for :department_name.,department_name,"-- Resolved 2026-08-27: department membership is via tbl_group_projects + tbl_groups, not tbl_projects.department_id (supersedes the earlier department_id-based reading)
SELECT p.project_id, p.project_unique_id, p.project_key, p.title, p.start_date, p.end_date, p.rag, g.name AS department_name
FROM tbl_group_projects gp
JOIN tbl_groups g ON gp.group_id = g.group_id AND g.status = 1
JOIN tbl_projects p ON p.project_id = gp.project_id
WHERE g.name = :department_name
  AND p.status = 1 AND p.archive = 0
  AND gp.project_id <> 0   -- tbl_group_projects can carry a project_id=0 sentinel row per group
ORDER BY p.end_date, p.title;",,Tool,get_department_projects,"Lists active projects in one department. Membership resolves via tbl_group_projects + tbl_groups (authoritative, confirmed 2026-08-27), not tbl_projects.department_id, which returns a different set. Params: department_name (tbl_groups.name). Excludes the project_id = 0 sentinel."
Show projects of type :project_type.,List :project_type projects.,Which projects use project type :project_type?,project_type,"SELECT p.project_id, p.project_key, p.title, pt.project_type, ps.status_name, p.start_date, p.end_date FROM tbl_projects p JOIN tbl_project_types pt ON pt.project_type_id = p.project_type_id LEFT JOIN tbl_project_status ps ON ps.status_id = p.project_status_id WHERE pt.project_type = :project_type AND p.status = 1 AND p.archive = 0 ORDER BY p.title;",,Tool,get_projects_by_type,"Lists active projects of one project type, joined through tbl_project_types. Params: project_type (name as stored in tbl_project_types.project_type). For delivery performance compared across types use get_delay_rates_by_segment."
