borrower_id,financial_year,revenue_inr_mn,ebitda_inr_mn,pat_inr_mn,dscr,current_ratio,debt_equity
C001,FY2024,320,36,16,1.42,1.29,2.0
C001,FY2025,370,42,19,1.51,1.34,1.9
C001,FY2026,420,48,22,1.62,1.38,1.8
C002,FY2024,300,32,14,1.36,1.2,2.0
C002,FY2025,286,27,11,1.27,1.12,2.2
C002,FY2026,275,24,8,1.18,1.05,2.3
C003,FY2024,240,25,10,1.3,1.15,2.2
C003,FY2025,280,31,14,1.38,1.18,2.0
C003,FY2026,310,37,18,1.45,1.21,1.9
C004,FY2024,520,55,24,1.39,1.22,1.9
C004,FY2025,580,64,30,1.46,1.27,1.8
C004,FY2026,640,72,34,1.52,1.3,1.7
C005,FY2024,180,16,5,1.12,1.03,2.5
C005,FY2025,170,12,2,1.01,0.95,2.8
C005,FY2026,160,9,-1,0.92,0.88,3.1
C006,FY2024,80,5,1,1.08,1.02,2.6
C006,FY2025,150,13,4,1.19,1.12,2.3
C006,FY2026,235,24,9,1.34,1.22,2.1
C007,FY2024,410,50,22,1.61,1.4,1.5
C007,FY2025,470,60,29,1.74,1.47,1.3
C007,FY2026,540,71,36,1.86,1.55,1.2
C008,FY2024,350,40,18,1.41,1.26,1.9
C008,FY2025,430,50,23,1.54,1.34,1.7
C008,FY2026,500,62,30,1.67,1.4,1.5
